"ANIO","CCDD","CCPP","CCDI","CONGLOMERADO","NSELUA","UA","Plaguicidas","Fertilizantes","GastoInsumos","Credito","Riego","sup_sembrada_ha","Produccion_t","Rendimiento","tamanoUA","GastoJornal","CantJornaleros","JornalPC","GastoMaq"
2019,"10","01","09","10071","00076","10",1,0,181,0,1,0.255,0.53075,78.3839784946237,1,440,5,88,120
2019,"10","01","09","10071","00084","11",1,0,335,0,1,0.67,0.83175,31.335,1,0,0,0,90
2019,"10","01","09","10071","00102","13",0,0,42,0,0,0.093,0.145,11.2916666666667,1,280,3,93.3333333333333,40
2019,"10","01","09","10071","00106","14",1,1,1364,0,1,1.011,2.403,82.16,3,0,0,0,40
2019,"10","01","09","10079","00006","1",0,0,41,0,1,0,0.549375,45.7172619047619,1,0,0,0,100
2019,"10","01","09","10079","00007","2",1,0,90,0,1,0.04,0.392,25,1,0,0,0,0
2019,"10","01","09","10079","00013","3",0,0,204,1,1,0,1.275,18.06,1,0,0,0,0
2019,"10","01","09","10079","00023","4",1,1,700,0,1,0,4.629,76.6666666666667,3,0,0,0,0
2019,"10","01","09","10079","00024","5",0,0,23,0,1,0.006,0.865,57,1,0,0,0,50
2019,"10","01","09","10079","00032","6",0,0,581,0,1,0.455,5.589,89.0441025641026,2,0,0,0,220
2019,"10","01","09","10079","00038","7",1,1,597,0,1,0.25,1.275,43.3416666666667,1,0,0,0,0
2019,"10","01","09","10079","00039","8",1,1,115,0,1,0.05,0.2785,34.5,1,0,0,0,0
2019,"10","01","09","10079","00048","9",1,1,1539,0,1,0.895,6.3075,90.3133333333333,2,0,0,0,0
2019,"10","01","09","10079","00051","10",1,1,245,0,1,0.092,0.74425,55.075,1,0,0,0,0
2019,"10","01","09","10079","00058","11",1,1,98,0,1,0.02,0.332,41.3333333333333,1,350,2,175,0
2019,"10","01","09","10079","00063","12",1,1,218,0,1,0.075,0.471,56.3527777777778,1,0,0,0,0
2019,"10","01","09","10079","00071","13",0,0,0,0,1,0,0.05,16.25,1,0,0,0,0
2019,"10","01","09","10079","00072","14",0,0,95,0,1,0.12,0.88,17.6666666666667,1,0,0,0,35
2019,"10","01","09","10080","00002","1",0,1,95,0,1,0.02,0.61,55.0454545454545,1,240,8,30,0
2019,"10","01","09","10080","00008","2",0,0,128,0,1,0.1665,0.30175,22.2441445783133,1,0,0,0,80
2019,"10","01","09","10080","00019","3",0,0,5,0,1,0,0.336,15.4333333333333,1,0,0,0,0
2019,"10","01","09","10080","00025","4",0,0,6,0,1,0,0.2425,19.9375,1,0,0,0,0
2019,"10","01","09","10080","00029","5",0,1,93,0,1,0.04175,1.551,137.274449564772,1,50,2,25,30
2019,"10","01","09","10080","00038","6",0,0,18,0,1,0.015,0.855,41.1772486772487,1,90,3,30,0
2019,"10","01","09","10080","00050","7",0,0,33,0,1,0,0.599,35.76,1,0,0,0,0
2019,"10","01","09","10080","00059","8",0,0,0,0,1,0,0.119,17.6,1,0,0,0,0
2019,"10","01","09","10080","00069","9",0,0,68,0,1,0.15,0.25,34.8666666666667,1,0,0,0,0
2019,"10","01","09","10080","00081","11",0,1,400,0,1,0,2.92,31.1765873015873,2,150,3,50,0
2019,"10","01","09","10080","00087","12",1,1,264,0,1,0.125,1.73,33.1857142857143,1,1000,2,500,0
